"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Dechaume M.; Mercier M.; Feybesse C.; Lubart T.; Chouvelon G.; Kermarrec S.; Tordjman S.","Dechaume, Merav (59368331600); Mercier, Maxence (57221915248); Feybesse, Cyrille (57191835134); Lubart, Todd (6602453537); Chouvelon, Gaëlle (59368656400); Kermarrec, Solenn (36483100000); Tordjman, Sylvie (6603703724)","59368331600; 57221915248; 57191835134; 6602453537; 59368656400; 36483100000; 6603703724","Is intelligence necessary and sufficient for creativity? An analysis of convergent and divergent thinking","2024","https://www.scopus.com/pages/publications/85206435876?origin=resultslist"
"Marchetti I.; Colpizzi I.; De Caro E.F.; Pedretti L.M.; Iannattone S.; Di Blas L.; Bottesi G.","Marchetti, Igor (35932225800); Colpizzi, Ilaria (57219313189); De Caro, Elide Francesca (57190441765); Pedretti, Lavinia Miriam (59704170000); Iannattone, Sara (57219911895); Di Blas, Lisa (6602777119); Bottesi, Gioia (55319847200)","35932225800; 57219313189; 57190441765; 59704170000; 57219911895; 6602777119; 55319847200","Is reduced self-esteem a necessary condition for eating disorder symptoms in adolescence? Preliminary evidence from a necessary condition analysis study","2026","https://www.scopus.com/pages/publications/105028403886?origin=resultslist"
"Sorjonen K.; Melin B.; Melin M.","Sorjonen, Kimmo (8215118900); Melin, Bo (7003396577); Melin, Marika (55777082900)","8215118900; 7003396577; 55777082900","Questionable necessity effects on suicidal ideation: a commentary on Marchetti et al. (2026)","2026","https://www.scopus.com/pages/publications/105034408065?origin=resultslist"
"Lyu V.C.; Chin W.; Zhang H.; Liu V.","Lyu, Venessa Chan (57216652621); Chin, Wynne (7202546881); Zhang, Hongfeng (58608939400); Liu, Vincent (55278323400)","57216652621; 7202546881; 58608939400; 55278323400","Value added or overload? A study of the countervailing effects of non-core features on mobile banking apps","2022","https://www.scopus.com/pages/publications/85118630556?origin=resultslist"
"Garg N.","Garg, Naval (57193195164)","57193195164","Workplace Spirituality and Employee Well-being: An Empirical Exploration","2017","https://www.scopus.com/pages/publications/85019691987?origin=resultslist"
"Peng X.; Qian Y.; He Y.","Peng, Xiaojie (60030301500); Qian, Yanran (60029718200); He, Yuanyuan (60350280900)","60030301500; 60029718200; 60350280900","When AI chatbots understand emotions: exploring the mechanisms of self-disclosure from emotional arousal to psychological acceptance—a hybrid SEM–ANN–NCA analysis across multiple interaction configurations","2026","https://www.scopus.com/pages/publications/105031942844?origin=resultslist"
"Chen Y.; Chen G.; Chen J.","Chen, Yu (60511180600); Chen, Guanxi (60086882200); Chen, Jiajun (58694791500)","60511180600; 60086882200; 58694791500","Generative AI–social media coordinated learning and university students' psychological well-being: dual pathways and the buffering role of perceived support","2026","https://www.scopus.com/pages/publications/105033274947?origin=resultslist"
"Korman J.V.; Van Quaquebeke N.; Tröster C.","Korman, Jennifer V. (57222749666); Van Quaquebeke, Niels (17347246200); Tröster, Christian (36096047100)","57222749666; 17347246200; 36096047100","Managers are Less Burned-Out at the Top: the Roles of Sense of Power and Self-Efficacy at Different Hierarchy Levels","2022","https://www.scopus.com/pages/publications/85103942435?origin=resultslist"
"Shen J.; Zhang H.; Wong C.U.I.; Chen J.; Ren L.","Shen, Junxian (58524249900); Zhang, Hongfeng (58608939400); Wong, Cora Un In (37059879700); Chen, Jianhui (59529419400); Ren, Lianping (55512846900)","58524249900; 58608939400; 37059879700; 59529419400; 55512846900","Relationship between childhood socio-economic status and wellness tourism intention: a combined PLS-SEM and NCA methods","2025","https://www.scopus.com/pages/publications/105007941830?origin=resultslist"
"Rafi A.; Roy S.K.; Rehman M.A.; Hasni M.J.S.","Rafi, Arslan (57783164000); Roy, Sanjit K. (55476508400); Rehman, Mohsin Abdur (55992036000); Hasni, Muhammad Junaid Shahid (57203861277)","57783164000; 55476508400; 55992036000; 57203861277","Impact of multidimensional presence on user well-being in metaverse communities","2025","https://www.scopus.com/pages/publications/85212862905?origin=resultslist"
"Marchetti I.; Pedretti L.M.; Iannattone S.; Colpizzi I.; Farina A.; Di Blas L.; Ghisi M.; Bottesi G.","Marchetti, Igor (35932225800); Pedretti, Lavinia Miriam (59704170000); Iannattone, Sara (57219911895); Colpizzi, Ilaria (57219313189); Farina, Alessandra (58619188200); Di Blas, Lisa (6602777119); Ghisi, Marta (24070524900); Bottesi, Gioia (55319847200)","35932225800; 59704170000; 57219911895; 57219313189; 58619188200; 6602777119; 24070524900; 55319847200","Is intolerance of uncertainty a necessary condition for anxiety symptoms in adolescents? A necessary condition analysis study","2025","https://www.scopus.com/pages/publications/105001670488?origin=resultslist"
"Hernaus T.; Dragičević N.; Hauff S.","Hernaus, Tomislav (23479770300); Dragičević, Nikolina (57197854492); Hauff, Sven (35084995400)","23479770300; 57197854492; 35084995400","The necessity of job design for employee creativity and innovation: nothing happens without supervisor support","2024","https://www.scopus.com/pages/publications/85194554058?origin=resultslist"
"Ye X.; Ruan Y.; Xia S.; Gu L.","Ye, Xinjie (59502038700); Ruan, Yanwen (57191091181); Xia, Sibei (57195728746); Gu, Liwen (59501940900)","59502038700; 57191091181; 57195728746; 59501940900","Adoption of digital intangible cultural heritage: a configurational study integrating UTAUT2 and immersion theory","2025","https://www.scopus.com/pages/publications/85214274251?origin=resultslist"
"Leong L.-Y.; Hew T.-S.; Ooi K.-B.; Chau P.Y.K.","Leong, Lai-Ying (42861634700); Hew, Teck-Soon (50261919100); Ooi, Keng-Boon (14619509700); Chau, Patrick Y.K. (7102267201)","42861634700; 50261919100; 14619509700; 7102267201","“To share or not to share?” – A hybrid SEM-ANN-NCA study of the enablers and enhancers for mobile sharing economy","2024","https://www.scopus.com/pages/publications/85185194303?origin=resultslist"
"Bullemore-Campbell J.; Díaz Tautiva J.A.; Cristobal-Fransi E.","Bullemore-Campbell, Jorge (60173602100); Díaz Tautiva, Julián Andrés (57221557852); Cristobal-Fransi, Eduard (8588970900)","60173602100; 57221557852; 8588970900","AI in sales: Environmental, behavioral, and technological drivers of adoption in an emerging market","2025","https://www.scopus.com/pages/publications/105021131083?origin=resultslist"
"Mladenović D.; Monashev M.; Jirásek M.; Bruni R.","Mladenović, Dušan (57208401150); Monashev, Mikhail (58616571200); Jirásek, Michal (57194681792); Bruni, Roberto (55703108800)","57208401150; 58616571200; 57194681792; 55703108800","When online review is not enough? Adoption of cryptocurrencies through the lenses of NCA and fsQCA","2025","https://www.scopus.com/pages/publications/105012980843?origin=resultslist"
"Shan X.; Wang Y.; Luo L.","Shan, Xin (59345076900); Wang, Yuchen (60036033600); Luo, Long (60036336400)","59345076900; 60036033600; 60036336400","The effect of digital music education on non-cognitive abilities: Empirical evidence from China","2025","https://www.scopus.com/pages/publications/105015867630?origin=resultslist"
"Liu L.; Wang Y.; Xiao T.; Zhang C.","Liu, Liping (57216832407); Wang, Yu (60569061300); Xiao, Ting (60569061400); Zhang, Chunyu (57216757069)","57216832407; 60569061300; 60569061400; 57216757069","Platform gig work conditions and workers’ perceptions of decent work: a configurational and necessity perspective","2026","https://www.scopus.com/pages/publications/105035219316?origin=resultslist"
"Zhou Y.; Kumar S.; Furuoka F.","Zhou, Ying (57681131700); Kumar, Sameer (56268954900); Furuoka, Fumitaka (24464870400)","57681131700; 56268954900; 24464870400","Enhancing customer value co-creation and stickiness in social commerce: integrating PLS-SEM and NCA for deeper insights into customer-to-customer dynamics","2024","https://www.scopus.com/pages/publications/85181251235?origin=resultslist"
